,y_test,predictions,errors
0,0.6222,0.6230425834655762,0.0008425834655761966
1,0.62234,0.6230067610740662,0.0006667610740661578
2,0.62247,0.6229649782180786,0.0004949782180786455
3,0.62261,0.6229315996170044,0.00032159961700439776
4,0.62274,0.6229190230369568,0.00017902303695682686
5,0.62288,0.6229430437088013,6.30437088012803e-05
6,0.6230100000000001,0.6230060458183289,3.954181671206314e-06
7,0.6231399999999999,0.6230980157852173,4.1984214782631035e-05
8,0.6232800000000001,0.6232103109359741,6.968906402593511e-05
9,0.62341,0.6233435273170471,6.647268295290054e-05
10,0.62355,0.6234952807426453,5.4719257354785e-05
11,0.62368,0.6236551403999329,2.4859600067150822e-05
12,0.6238199999999998,0.6238130331039429,6.966896056948002e-06
13,0.6239499999999999,0.6239674091339111,1.7409133911239216e-05
14,0.6240899999999999,0.6241273880004883,3.7388000488358664e-05
15,0.62422,0.6242966651916504,7.666519165039354e-05
16,0.62435,0.6244713068008423,0.00012130680084232459
17,0.62449,0.6246476769447327,0.00015767694473267646
18,0.62462,0.624821662902832,0.00020166290283207822
19,0.62476,0.6249881982803345,0.00022819828033449063
20,0.62489,0.6251392960548401,0.0002492960548401424
21,0.62503,0.6252709031105042,0.0002409031105041759
22,0.62516,0.6253815293312073,0.0002215293312072264
23,0.62529,0.6254725456237793,0.0001825456237792844
24,0.62543,0.6255462169647217,0.00011621696472163823
25,0.62556,0.6256030797958374,4.3079795837397405e-05
26,0.6257,0.6256439685821533,5.6031417846713616e-05
27,0.6258300000000001,0.6256709694862366,0.00015903051376353616
28,0.62597,0.6256952285766602,0.00027477142333987015
29,0.6261,0.6257280111312866,0.0003719888687133688
30,0.62624,0.6257815957069397,0.0004584042930603216
31,0.62637,0.6258608102798462,0.0005091897201537909
32,0.6265,0.6259572505950928,0.0005427494049071724
33,0.6266399999999999,0.626056432723999,0.0005835672760008404
34,0.6267699999999999,0.6261493563652039,0.0006206436347960809
35,0.6269100000000002,0.6262295842170715,0.0006804157829286561
36,0.6270399999999999,0.6262979507446289,0.0007420492553710245
37,0.6271800000000001,0.6263636350631714,0.000816364936828684
38,0.62731,0.6264391541481018,0.0008708458518982276
39,0.62745,0.6265251636505127,0.0009248363494872569
40,0.62758,0.6266273856163025,0.0009526143836975365
41,0.6277100000000001,0.6267533302307129,0.0009566697692872106
42,0.62785,0.6269102096557617,0.0009397903442383004
43,0.62798,0.6270973086357117,0.0008826913642883127
44,0.62812,0.6273111701011658,0.0008088298988342402
45,0.62825,0.6275495290756226,0.0007004709243774165
46,0.62839,0.6278038024902344,0.0005861975097656291
47,0.6285199999999999,0.6280667185783386,0.00045328142166123353
48,0.6286600000000001,0.6283277273178101,0.000332272682190049
49,0.62879,0.6285770535469055,0.0002129464530944425
50,0.62892,0.6288045644760132,0.00011543552398685097
51,0.6290600000000001,0.6290013790130615,5.862098693854012e-05
52,0.6291899999999999,0.629159152507782,3.084749221793359e-05
53,0.6293300000000001,0.6292740106582642,5.598934173589587e-05
54,0.62946,0.6293517351150513,0.00010826488494874997
55,0.6295999999999999,0.6294048428535461,0.0001951571464537949
56,0.62973,0.6294460296630859,0.00028397033691407447
57,0.6298600000000001,0.6294856667518616,0.0003743332481385142
58,0.63,0.6295369267463684,0.00046307325363159624
59,0.63013,0.6296103596687317,0.0005196403312682785
60,0.63027,0.6297078132629395,0.0005621867370605438
61,0.6303999999999998,0.6298266053199768,0.0005733946800230427
62,0.63054,0.6299675107002258,0.0005724892997741593
63,0.63067,0.6301292181015015,0.000540781898498488
64,0.63081,0.6303080916404724,0.0005019083595275697
65,0.63094,0.6305063366889954,0.000433663311004584
66,0.63107,0.6307255625724792,0.0003444374275207718
67,0.63121,0.6309689879417419,0.00024101205825810545
68,0.63134,0.6312379837036133,0.00010201629638673104
69,0.6314800000000002,0.6315338015556335,5.380155563339262e-05
70,0.63161,0.6318460702896118,0.00023607028961181165
71,0.63175,0.6321521401405334,0.0004021401405334135
72,0.63188,0.6324396729469299,0.0005596729469299344
73,0.63202,0.6327064633369446,0.0006864633369445539
74,0.63215,0.6329538226127625,0.0008038226127624615
75,0.6322800000000001,0.6331803798675537,0.0009003798675536467
76,0.63242,0.6333851218223572,0.0009651218223571956
77,0.63255,0.6335698962211609,0.001019896221160943
78,0.63269,0.633736252784729,0.0010462527847290293
79,0.6328199999999999,0.6338837742805481,0.0010637742805481576
80,0.6329600000000001,0.6340072154998779,0.0010472154998778516
81,0.6330899999999999,0.634105920791626,0.001015920791626046
82,0.6332300000000001,0.6341844201087952,0.0009544201087950954
83,0.6333600000000001,0.6342493295669556,0.0008893295669554213
84,0.63349,0.6342992186546326,0.0008092186546325708
85,0.63363,0.6343322396278381,0.0007022396278381082
86,0.63376,0.6343507170677185,0.0005907170677185158
87,0.6339,0.634360134601593,0.00046013460159299857
88,0.63403,0.634369432926178,0.00033943292617799603
89,0.6341699999999999,0.6343871355056763,0.00021713550567636908
90,0.6343,0.6344202160835266,0.00012021608352663637
91,0.63443,0.6344701051712036,4.010517120356383e-05
92,0.63457,0.6345387697219849,3.123027801510414e-05
93,0.6347,0.6346248388290405,7.516117095951458e-05
94,0.63484,0.6347193717956543,0.00012062820434566301
95,0.63497,0.634821355342865,0.00014864465713504416
96,0.6351100000000001,0.6349294185638428,0.00018058143615728994
97,0.6352399999999999,0.6350383162498474,0.00020168375015250373
98,0.6353800000000001,0.6351412534713745,0.00023874652862554413
99,0.63551,0.6352415084838867,0.0002684915161133006
100,0.63564,0.6353472471237183,0.0002927528762817211
