,y_test,predictions,errors
0,0.6222,0.6292054653167725,0.007005465316772486
1,0.62234,0.6291783452033997,0.006838345203399654
2,0.62247,0.6291477084159851,0.00667770841598514
3,0.62261,0.6291277408599854,0.006517740859985355
4,0.62274,0.6291283369064331,0.006388336906433145
5,0.62288,0.6291664838790894,0.006286483879089366
6,0.6230100000000001,0.6292417049407959,0.006231704940795835
7,0.6231399999999999,0.6293460130691528,0.006206013069152916
8,0.6232800000000001,0.6294711828231812,0.006191182823181096
9,0.62341,0.6296175718307495,0.006207571830749492
10,0.62355,0.6297805309295654,0.006230530929565381
11,0.62368,0.629949152469635,0.006269152469634998
12,0.6238199999999998,0.6301155090332031,0.006295509033203306
13,0.6239499999999999,0.6302774548530579,0.006327454853057968
14,0.6240899999999999,0.6304438710212708,0.006353871021270829
15,0.62422,0.6306164264678955,0.006396426467895511
16,0.62435,0.630792498588562,0.006442498588562051
17,0.62449,0.6309700608253479,0.006480060825347911
18,0.62462,0.6311443448066711,0.0065243448066711895
19,0.62476,0.631311297416687,0.00655129741668703
20,0.62489,0.6314622163772583,0.006572216377258355
21,0.62503,0.6315947771072388,0.006564777107238795
22,0.62516,0.6317066550254822,0.006546655025482129
23,0.62529,0.6318004131317139,0.006510413131713855
24,0.62543,0.6318775415420532,0.006447541542053181
25,0.62556,0.6319395899772644,0.006379589977264399
26,0.6257,0.6319872736930847,0.006287273693084683
27,0.6258300000000001,0.6320228576660156,0.006192857666015517
28,0.62597,0.6320574283599854,0.006087428359985325
29,0.6261,0.6320998668670654,0.00599986686706544
30,0.62624,0.6321626305580139,0.005922630558013897
31,0.62637,0.6322499513626099,0.005879951362609881
32,0.6265,0.6323544979095459,0.005854497909545953
33,0.6266399999999999,0.6324636936187744,0.00582369361877455
34,0.6267699999999999,0.6325688362121582,0.005798836212158265
35,0.6269100000000002,0.632662296295166,0.005752296295165826
36,0.6270399999999999,0.6327447891235352,0.0057047891235352255
37,0.6271800000000001,0.6328245997428894,0.0056445997428893335
38,0.62731,0.6329130530357361,0.00560305303573605
39,0.62745,0.6330081820487976,0.005558182048797655
40,0.62758,0.6331198811531067,0.005539881153106663
41,0.6277100000000001,0.6332530379295349,0.005543037929534811
42,0.62785,0.6334152221679688,0.005565222167968731
43,0.62798,0.6336040496826172,0.005624049682617205
44,0.62812,0.6338171362876892,0.005697136287689197
45,0.62825,0.6340528130531311,0.005802813053131128
46,0.62839,0.6343011260032654,0.005911126003265377
47,0.6285199999999999,0.6345561742782593,0.006036174278259421
48,0.6286600000000001,0.6348073482513428,0.006147348251342666
49,0.62879,0.6350462436676025,0.006256243667602579
50,0.62892,0.6352633833885193,0.0063433833885192525
51,0.6290600000000001,0.6354508399963379,0.006390839996337827
52,0.6291899999999999,0.6356006860733032,0.006410686073303307
53,0.6293300000000001,0.6357101798057556,0.006380179805755559
54,0.62946,0.6357844471931458,0.0063244471931457324
55,0.6295999999999999,0.6358363032341003,0.006236303234100404
56,0.62973,0.6358767747879028,0.00614677478790282
57,0.6298600000000001,0.6359162330627441,0.006056233062744054
58,0.63,0.6359678506851196,0.0059678506851196245
59,0.63013,0.636042058467865,0.005912058467865022
60,0.63027,0.6361401081085205,0.005870108108520511
61,0.6303999999999998,0.6362594962120056,0.005859496212005766
62,0.63054,0.6364015340805054,0.005861534080505382
63,0.63067,0.6365629434585571,0.005892943458557176
64,0.63081,0.6367396116256714,0.005929611625671405
65,0.63094,0.6369346976280212,0.005994697628021295
66,0.63107,0.6371467709541321,0.00607677095413206
67,0.63121,0.6373802423477173,0.006170242347717236
68,0.63134,0.637635350227356,0.006295350227355945
69,0.6314800000000002,0.6379154324531555,0.006435432453155365
70,0.63161,0.638209342956543,0.006599342956542964
71,0.63175,0.6384952664375305,0.006745266437530484
72,0.63188,0.6387642025947571,0.006884202594757083
73,0.63202,0.6390120983123779,0.0069920983123779035
74,0.63215,0.6392398476600647,0.007089847660064708
75,0.6322800000000001,0.639445960521698,0.007165960521697934
76,0.63242,0.6396310329437256,0.007211032943725604
77,0.63255,0.6397972106933594,0.007247210693359429
78,0.63269,0.6399467587471008,0.0072567587471008554
79,0.6328199999999999,0.6400793790817261,0.007259379081726136
80,0.6329600000000001,0.6401900053024292,0.007230005302429121
81,0.6330899999999999,0.6402799487113953,0.007189948711395333
82,0.6332300000000001,0.6403527855873108,0.00712278558731072
83,0.6333600000000001,0.6404144167900085,0.0070544167900084
84,0.63349,0.6404629945755005,0.006972994575500491
85,0.63363,0.6404983997344971,0.006868399734497044
86,0.63376,0.6405230164527893,0.006763016452789317
87,0.6339,0.6405407190322876,0.006640719032287579
88,0.63403,0.6405612826347351,0.006531282634735125
89,0.6341699999999999,0.6405906081199646,0.006420608119964699
90,0.6343,0.6406365633010864,0.006336563301086451
91,0.63443,0.6406990885734558,0.006269088573455761
92,0.63457,0.6407813429832458,0.006211342983245882
93,0.6347,0.6408808827400208,0.00618088274002071
94,0.63484,0.6409876942634583,0.006147694263458292
95,0.63497,0.6411038041114807,0.0061338041114806785
96,0.6351100000000001,0.6412252187728882,0.00611521877288812
97,0.6352399999999999,0.641347348690033,0.006107348690033043
98,0.6353800000000001,0.6414626240730286,0.006082624073028509
99,0.63551,0.6415758728981018,0.006065872898101787
100,0.63564,0.6416928172111511,0.00605281721115114
101,0.63578,0.641819179058075,0.006039179058074939
102,0.6359100000000001,0.6419596076011658,0.006049607601165685
103,0.6360499999999999,0.642114520072937,0.0060645200729371185
104,0.63618,0.6422767043113708,0.006096704311370882
105,0.63632,0.6424376368522644,0.0061176368522644076
