Time,SOC,Voltage,Current,Temperature
0,0.5,3.5397,14.728,293.15
1,0.49987,3.5522,14.787,293.15
2,0.49973,3.5361,14.729,293.15
3,0.4996,3.6477,15.192,293.16
4,0.49947,3.5326,14.729,293.16
5,0.49933,3.5789,14.924,293.16
6,0.4992,3.564,14.869,293.16
7,0.49907,3.5329,14.747,293.17
8,0.49894,3.5656,14.885,293.17
9,0.4988,3.5302,14.744,293.17
10,0.49867,3.5875,14.982,293.17
11,0.49854,3.4868,14.575,293.17
12,0.4984,3.6031,15.053,293.18
13,0.49827,3.5406,14.801,293.18
14,0.49814,3.559,14.879,293.18
15,0.498,3.5305,14.765,293.18
16,0.49787,3.5196,14.724,293.19
17,0.49774,3.6377,15.208,293.19
18,0.4976,3.5432,14.824,293.19
19,0.49747,3.5675,14.926,293.19
20,0.49734,3.5246,14.753,293.2
21,0.49721,3.53,14.777,293.2
22,0.49707,3.5433,14.833,293.2
23,0.49694,3.5327,14.791,293.2
24,0.49681,3.5181,14.733,293.21
25,0.49667,3.5557,14.888,293.21
26,0.49654,3.5821,14.997,293.21
27,0.49641,3.5133,14.718,293.21
28,0.49627,3.5507,14.872,293.22
29,0.49614,3.4824,14.595,293.22
30,0.49601,3.5485,14.866,293.22
31,0.49587,3.6066,15.104,293.22
32,0.49574,3.5681,14.948,293.23
33,0.49561,3.5352,14.815,293.23
34,0.49547,3.6027,15.091,293.23
35,0.49534,3.5828,15.011,293.23
36,0.49521,3.6201,15.165,293.24
37,0.49508,3.5634,14.934,293.24
38,0.49494,3.5738,14.978,293.24
39,0.49481,3.5575,14.912,293.24
40,0.49468,3.5702,14.965,293.25
41,0.49454,3.4951,14.659,293.25
42,0.49441,3.5795,15.005,293.25
43,0.49428,3.5326,14.814,293.25
44,0.49414,3.5513,14.891,293.25
45,0.49401,3.5261,14.789,293.26
46,0.49388,3.4898,14.642,293.26
47,0.49374,3.5632,14.942,293.26
48,0.49361,3.547,14.877,293.26
49,0.49348,3.5276,14.799,293.27
50,0.49335,3.7536,0.38308,293.27
51,0.49335,3.6783,0.0682,293.27
52,0.49335,3.7072,0.17958,293.27
53,0.49335,3.6293,-0.14471,293.27
54,0.49335,3.681,0.061049,293.27
55,0.49335,3.6212,-0.18788,293.27
56,0.49335,3.7343,0.2693,293.27
57,0.49335,3.7008,0.12814,293.27
58,0.49335,3.5911,-0.32351,293.27
59,0.49335,3.6699,-0.0050318,293.27
60,0.49335,3.6311,-0.16641,293.27
61,0.49335,3.7047,0.13106,293.27
62,0.49335,3.6525,-0.08454,293.27
63,0.49335,3.6188,-0.22458,293.27
64,0.49335,3.6999,0.10451,293.27
65,0.49335,3.6809,0.024945,293.27
66,0.49335,3.7293,0.22068,293.27
67,0.49335,3.6954,0.080678,293.27
